"CODE","NAME","SORT_ORDER","DESCRIPTION","VALID_FLAG","ACCURACY","UNIT"
"1","Tenth second",6,"Accurate to + or - .1  sec (Differentially-Corrected GPS).","Y",".1","seconds"
"5","Half second",7,"Accurate to + or - .5  sec (PLGR/PPS GPS).","Y",".5","seconds"
"B","Level 1 SGPS",1,"Level 1 survey-grade GPS","Y","Unknown","Unknown"
"C","Level 2 SGPS",2,"Level 2 survey-grade GPS","Y","Unknown","Unknown"
"D","Level 3 SGPS",3,"Level 3 survey-grade GPS","Y","Unknown","Unknown"
"E","Level 4 SGPS",4,"Level 4 survey-grade GPS","Y","Unknown","Unknown"
"F","5 seconds",10,"Accurate to + or - 5   sec.","Y","5","seconds"
"H","Hndrth second",5,"Accurate to + or - .01 sec (Differentially-Corrected GPS).","Y",".01","seconds"
"M","Minute",12,"Accurate to + or - 1   min.","Y","1","minutes"
"R","3 seconds",9,"Accurate to + or - 3   sec (SPS GPS).","Y","3","seconds"
"S","Second",8,"Accurate to + or - 1   sec.","Y","1","seconds"
"T","10 seconds",11,"Accurate to + or - 10  sec.","Y","10","seconds"
"U","Unknown",13,"Unknown or unspecified.","Y","Unknown","Unknown"
